snapshot,percentile,ix,iy,iz,omega_mag,R_max,sigma_abs,sigma_signed,C_far
t=0,50.0,33,135,236,34.83799341086163,32,12.74756855102558,1.5457254469845254,0.12125649223201605
t=0,50.0,33,135,236,34.83799341086163,48,16.229843541123955,1.7425720018141668,0.10736837957795184
t=0,50.0,33,135,236,34.83799341086163,64,18.576096452238495,1.731368021925044,0.09320408226650907
t=0,50.0,33,135,236,34.83799341086163,80,20.481025764770248,2.1222800598786815,0.10362176603133084
t=0,50.0,33,135,236,34.83799341086163,96,22.190453878137863,2.592653565585147,0.11683643695721975
t=0,50.0,33,135,236,34.83799341086163,112,23.64957879608602,2.5432323150596905,0.10753816535119826
t=0,50.0,18,10,163,18.015052677650882,32,10.053395283393472,0.8734614070747975,0.0868822305751381
t=0,50.0,18,10,163,18.015052677650882,48,13.379355755049158,0.9370112899787153,0.07003411129307194
t=0,50.0,18,10,163,18.015052677650882,64,16.004436185697482,1.2124923919934583,0.0757597692242988
t=0,50.0,18,10,163,18.015052677650882,80,18.057399369673718,1.265284391561316,0.07007013389127797
t=0,50.0,18,10,163,18.015052677650882,96,19.706970123776497,1.2418604345844357,0.06301630472794642
